X,Y,R,G,B,Brightness,Relative Diameter,Distance from Center
755,510,26.612244897959183,26.612244897959183,26.612244897959183,8469,6.96429443359375,255.1960031034969
756,558,28.571428571428573,28.571428571428573,28.571428571428573,4350,4.472236156463623,262.48809496813374
757,651,39.816326530612244,39.816326530612244,39.816326530612244,36366,14.125205993652344,298.0771712157776
758,477,29.3265306122449,29.3265306122449,29.3265306122449,3294,2.6926822662353516,259.02316498722655
760,629,32.61224489795919,32.61224489795919,32.61224489795919,8727,7.159010887145996,290.2430016382824
761,610,26.183673469387756,26.183673469387756,26.183673469387756,12198,11.011457443237305,283.2331195323033
771,572,29.244897959183675,29.244897959183675,29.244897959183675,11736,8.062357902526855,280.40149785619906
774,639,34.673469387755105,34.673469387755105,34.673469387755105,97389,25.597949981689453,307.2409477917942
780,540,27.040816326530614,27.040816326530614,27.040816326530614,2982,3.3542017936706543,282.842712474619
782,668,32.857142857142854,32.857142857142854,32.857142857142854,13776,8.321758270263672,328.2499047981583
790,548,34.224489795918366,34.224489795918366,34.224489795918366,68400,19.15200424194336,293.945573193406
794,629,33.93877551020408,33.93877551020408,33.93877551020408,8598,6.020897388458252,321.05606986942325
794,616,40.12244897959184,40.12244897959184,40.12244897959184,6138,4.609872341156006,316.0569568922665
795,591,94.71428571428571,94.71428571428571,94.71428571428571,34644,9.617792129516602,308.71669860893496
807,548,37.08163265306123,37.08163265306123,37.08163265306123,7179,4.742238998413086,310.72978614867293
